Node No,K value,Freequency,Avg pathloss(dB),Avg signal power(dBm),Delay,Packet loss
3,6,900,68.6575,3.17252,0.104592,241
1,6,910,102.875,0,0.20776,323
2,6,910,64.5761,3.50338,0.103104,253
3,6,910,67.3109,3.61942,0.110384,247
1,6,920,103.046,0,0.208352,323
2,6,920,63.6019,3.56244,0.1068,259
3,6,920,64.5948,3.49307,0.105312,253
1,6,930,103.217,0,0.2088,323
2,6,930,66.6715,3.67461,0.103088,249
3,6,930,64.8602,3.77531,0.108736,253
1,6,940,103.484,0,0.187008,321
2,6,940,65.7128,1.66402,0.1052,253
3,6,940,63.3588,3.4445,0.11328,259
1,6,950,103.552,0,0.188192,322
2,6,950,62.954,3.4229,0.114288,259
3,6,950,62.9424,2.5395,0.1084,255
1,6,960,103.72,0,0.187008,322
2,6,960,63.6979,3.33257,0.106256,258
3,6,960,60.8062,3.88513,0.113472,263
1,6,970,103.886,0,0.18864,322
2,6,970,62.0678,2.69091,0.110464,258
3,6,970,62.0103,3.65868,0.114928,263
1,6,980,104.051,0,0.187072,322
2,6,980,61.0602,3.05807,0.113616,265
3,6,980,63.8078,3.44888,0.113984,258
1,6,990,0,0,0.166624,321
2,6,990,60.3282,3.55104,0.117312,264
3,6,990,58.3413,3.75265,0.113072,265
1,6,1000,0,0,0.167296,321
2,6,1000,58.5588,4.16049,0.113696,267
3,6,1000,59.1229,3.91034,0.114848,264
1,6,1010,0,0,0.165664,321
2,6,1010,59.9513,4.49747,0.11896,267
3,6,1010,59.3589,4.15228,0.11952,266
1,6,1020,0,0,0.167824,321
2,6,1020,60.0598,4.41131,0.125328,267
3,6,1020,55.6911,4.51679,0.116432,269
1,6,1030,105.056,0,0.167152,320
2,6,1030,54.7686,4.78649,0.12446,273
3,6,1030,58.7135,4.31703,0.122544,265
1,6,1040,0,0,0.167088,321
2,6,1040,51.9969,3.70482,0.118016,272
3,6,1040,56.498,4.10722,0.126032,266
1,6,1050,0,0,0.167296,321
2,6,1050,50.9842,4.525714,0.121056,273
3,6,1050,52.7526,3.88641,0.120048,271
1,6,1060,0,0,0.1676,321
2,6,1060,55.6055,4.56861,0.1288,270
3,6,1060,52.9009,4.73913,0.123792,269
1,6,1070,0,0,0.168128,321
2,6,1070,53.2917,3.75605,0.126112,271
3,6,1070,53.7544,4.84431,0.129648,268
1,6,1080,106.036,0,0.16768,320
2,6,1080,54.6911,4.48303,0.124608,267
3,6,1080,53.7779,4.76739,0.127088,270
1,6,1090,0,0,0.168272,321
2,6,1090,53.996,4.977863,0.129008,270
3,6,1090,56.4607,4.19054,0.130048,267
1,6,1100,0,0,0.169248,321
2,6,1100,52.3192,5.34348,0.133062,270
3,6,1100,53.0018,5.3716,0.132192,269
1,6,1110,0,0,0.191056,321
2,6,1110,52.5048,4.68167,0.130192,270
3,6,1110,55.7301,5.57535,0.13544,268
1,6,1120,0,0,0.0193248,321
2,6,1120,52.6527,4.92127,0.134096,270
3,6,1120,49.6255,4.89291,0.133792,273
1,6,1130,0,0,0.168272,321
2,6,1130,52.8055,6.15229,0.136256,272
